brand,title,url,autoship_price,price,old_price,rating
Apoquel,"
        
          
          
          
            ,
             Tablets for Dogs, 16-mg, 1 tablet
          
        
      ",https://www.chewy.com/apoquel-tablets-dogs-16-mg-1-tablet/dp/173047,"
              $2.18
            ","
              $2.29
            ","
							
						",1529
Heartgard,"
        
          
          
          
            ,
             Plus Chewables for Dogs, 51-100 lbs, 6 treatments (Brown Box)
          
        
      ",https://www.chewy.com/heartgard-plus-chewables-dogs-51-100/dp/173234,"
              $53.67
            ","
              $56.49
            ","
							
						",864
Heartgard,"
        
          
          
          
            ,
             Plus Chewables for Dogs, up to 25 lbs, 6 treatments (Blue Box)
          
        
      ",https://www.chewy.com/heartgard-plus-chewables-dogs-up-to/dp/173230,"
              $34.67
            ","
              $36.49
            ","
							
                $40.00
              
						",762
NexGard,"
        
          
          
          
            ,
             Chewables for Dogs, 24.1-60 lbs, 3 treatments (Purple Box)
          
        
      ",https://www.chewy.com/nexgard-chewables-dogs-241-60-lbs-3/dp/173251,"
              $56.99
            ","
              $59.99
            ","
							
                $64.00
              
						",583
NexGard,"
        
          
          
          
            ,
             Chewables for Dogs, 60.1-121 lbs, 3 treatments (Red Box)
          
        
      ",https://www.chewy.com/nexgard-chewables-dogs-601-121-lbs-3/dp/173254,"
              $56.99
            ","
              $59.99
            ","
							
                $66.00
              
						",583
Bravecto,"
        
          
          
          
            ,
             Chews for Dogs, 44-88 lbs, 1 treatment (Blue Box)
          
        
      ",https://www.chewy.com/bravecto-chews-dogs-44-88-lbs-1/dp/172909,,"
              $56.99
            ","
							
                $64.50
              
						",443
Heartgard,"
        
          
          
          
            ,
             Plus Chewables for Dogs, 26-50 lbs, 6 treatments (Green Box)
          
        
      ",https://www.chewy.com/heartgard-plus-chewables-dogs-26-50/dp/173232,"
              $44.17
            ","
              $46.49
            ","
							
                $49.00
              
						",448
NexGard,"
        
          
          
          
            ,
             Chewables for Dogs, 10.1-24 lbs, 3 treatments (Blue Box)
          
        
      ",https://www.chewy.com/nexgard-chewables-dogs-101-24-lbs-3/dp/173248,"
              $56.99
            ","
              $59.99
            ","
							
                $62.00
              
						",506
Vetsulin,"
        
          
          
          
            ,
             Insulin U-40 for Dogs & Cats, 10-mL
          
        
      ",https://www.chewy.com/vetsulin-insulin-u-40-dogs-cats-10-ml/dp/172946,,"
              $58.65
            ","
							
						",261
Carprofen,"
        
          
          
          
            ,
             (Generic to Rimadyl, Novox, Vetprofen) Caplets for Dogs, 100-mg, 1 caplet
          
        
      ",https://www.chewy.com/carprofen-generic-to-rimadyl-novox/dp/173413,"
              $0.38
            ","
              $0.40
            ","
							
						",499
Interceptor Plus,"
        
          
          
          
            ,
             Chewable Tablets for Dogs, 50.1-100 lbs, 6 treatments (Blue Box)
          
        
      ",https://www.chewy.com/interceptor-plus-chewable-tablets/dp/172985,"
              $53.67
            ","
              $56.49
            ","
							
						",277
Bravecto,"
        
          
          
          
            ,
             Chews for Dogs, 9.9-22 lbs, 1 treatment (Orange Box)
          
        
      ",https://www.chewy.com/bravecto-chews-dogs-99-22-lbs-1/dp/172905,,"
              $56.99
            ","
							
                $64.50
              
						",229
Carprofen,"
        
          
          
          
            ,
             (Generic to Rimadyl, Novox, Vetprofen) Flavored Tablets for Dogs, 75-mg, 1 tablet
          
        
      ",https://www.chewy.com/carprofen-generic-to-rimadyl-novox/dp/173416,"
              $0.31
            ","
              $0.33
            ","
							
						",378
Bravecto,"
        
          
          
          
            ,
             Chews for Dogs, 22-44 lbs, 1 treatment (Green Box)
          
        
      ",https://www.chewy.com/bravecto-chews-dogs-22-44-lbs-1/dp/172907,,"
              $56.99
            ","
							
                $64.50
              
						",171
Interceptor Plus,"
        
          
          
          
            ,
             Chewable Tablets for Dogs, 25.1-50 lbs, 6 treatments (Yellow Box)
          
        
      ",https://www.chewy.com/interceptor-plus-chewable-tablets/dp/172983,"
              $44.17
            ","
              $46.49
            ","
							
						",142
Interceptor Plus,"
        
          
          
          
            ,
             Chewable Tablets for Dogs, 8.1-25 lbs, 6 treatments (Green Box)
          
        
      ",https://www.chewy.com/interceptor-plus-chewable-tablets/dp/172981,"
              $38.47
            ","
              $40.49
            ","
							
						",184
Simparica,"
        
          
          
          
            ,
             Chewable Tablets for Dogs, 44.1-88 lbs, 6 treatments (Green Box)
          
        
      ",https://www.chewy.com/simparica-chewable-tablets-dogs-441/dp/173129,"
              $93.36
            ","
              $98.27
            ","
							
                $102.00
              
						",241
Galliprant,"
        
          
          
          
            ,
             Tablets for Dogs, 60-mg, 1 tablet
          
        
      ",https://www.chewy.com/galliprant-tablets-dogs-60-mg-1/dp/172976,"
              $2.77
            ","
              $2.92
            ","
							
						",396
Tri-Heart Plus,"
        
          
          
          
            ,
             Chewable Tablets for Dogs, 51-100 lbs, 6 treatments (Brown Box)
          
        
      ",https://www.chewy.com/tri-heart-plus-chewable-tablets-dogs/dp/172944,,"
              $32.99
            ","
							
                $51.10
              
						",189
Vetoryl,"
        
          
          
          
            ,
             Capsules for Dogs, 10-mg, 30 capsules
          
        
      ",https://www.chewy.com/vetoryl-capsules-dogs-10-mg-30/dp/173777,,"
              $44.08
            ","
							
						",146
Furosemide,"
        
          
          
          
            ,
             (Generic) Tablets For Dogs & Cats, 12.5-mg, 1 tablet
          
        
      ",https://www.chewy.com/furosemide-generic-tablets-dogs-cats/dp/173527,"
              $0.13
            ","
              $0.14
            ","
							
						",71
Vetmedin,"
        
          
          
          
            ,
             Chewable Tablets for Dogs, 1.25-mg, 50 chewable tablets
          
        
      ",https://www.chewy.com/vetmedin-chewable-tablets-dogs-125-mg/dp/173263,"
              $45.40
            ","
              $47.79
            ","
							
						",86
Enalapril,"
        
          
          
          
            ,
             Maleate (Generic) Tablets, 2.5-mg, 1 tablet
          
        
      ",https://www.chewy.com/enalapril-maleate-generic-tablets-25/dp/173490,"
              $0.12
            ","
              $0.13
            ","
							
						",4
Revolution,"
        
          
          
          
            ,
             Topical Solution for Cats, 5.1-15 lbs, 6 treatments (Blue Box)
          
        
      ",https://www.chewy.com/revolution-topical-solution-cats-51/dp/173099,"
              $115.44
            ","
              $121.52
            ","
							
						",469
Trifexis,"
        
          
          
          
            ,
             Chewable Tablets for Dogs, 60.1-120 lbs, 6 treatments (Brown Box)
          
        
      ",https://www.chewy.com/trifexis-chewable-tablets-dogs-601/dp/173016,"
              $118.74
            ","
              $124.99
            ","
							
						",185
NexGard,"
        
          
          
          
            ,
             Chewables for Dogs, 4-10 lbs, 3 treatments (Orange Box)
          
        
      ",https://www.chewy.com/nexgard-chewables-dogs-4-10-lbs-3/dp/173245,"
              $56.04
            ","
              $58.99
            ","
							
                $61.00
              
						",161
Proin,"
        
          
          
          
            ,
             Chewable Tablets for Dogs, 50-mg, 1 tablet
          
        
      ",https://www.chewy.com/proin-chewable-tablets-dogs-50-mg-1/dp/173713,,"
              $0.27
            ","
							
						",42
